element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Fe,1,4442.0703,102,3.0e+06,E,3.95972364,6.75085864,3d6.(5D).4s.4p.(3P*),z 3D*,1,3d7.(4F).4d,f 3D,1,,T2578n,L11631
Ne,1,4442.137,10,,,18.63679156,21.427860,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).10d,2[7/2]*,3,,,L3469
Fe,1,4442.216,40,,,3.30092244,6.09196644,3d7.(2D2).4s,a 3D,2,3d6.(3F2).4s.4p.(3P*),v 3D*,3,,,L11631
Na,2,4442.25,100,,,,,,,,,,,,,L914
Cr,1,4442.27,1,,,3.12159404,5.9126191,3d4.4s2,a 3F,4,3d4.(3G).4s.4p.(3P*),x 5H*,4,,,L808
Ti,1,4442.513,120,6.1e+06,D,1.87316703,4.6640244,3d3.(2G).4s,a 3G,3,3d3.(2G).4p,v 3G*,4,,T4401n,L10989
Fe,3,4442.656,9.9,,,13.585070,16.375838,3d5.(b 2D).4s,1D,2,3d5.(a 2D).4p,3F*,3,,,L1171
Fe,1,4442.792,71,,,3.88350907,6.67419029,3d6.(5D).4s.4p.(3P*),z 3D*,3,3d7.(4F).4d,g 5F,3,,,L11631
V,1,4442.9267,5200000,1.35e+07,B+,0.27526426,3.06586155,3d4.(5D).4s,a 6D,5/2,3d4.(5D).4p,z 6P*,5/2,,T9399,L15916
Ti,2,4442.9759,29,2.2e+05,D,1.18010040,3.97066729,3d3,a 4P,5/2,3d2.(3F).4p,z 2D*,5/2,,T2403n,u37
Mn,2,4443.2428,30,7.0e+05,D+,5.4725424,8.2629413,3d5.(2D).4s,c 3D,1,3d5.(4P).4p,z 5D*,1,,T7259,"L11924,L562"
Ti,3,4443.50,3,,,18.318652,21.108899,3p6.3d.5p,3D*,2,3p6.3d.6s,3D,3,,,L3593
Cr,1,4443.5149,28,1.9e+06,D,3.00044215,5.79067042,3d4.4s2,a 3H,6,3d4.(3G).4s.4p.(3P*),w 5F*,5,,T3963,L14866
Fe,1,4443.5858,13500,3.76e+06,B,2.19786640,4.98804995,3d7.(4P).4s,a 5P,2,3d6.(5D).4s.4p.(1P*),x 5D*,2,,T4187,L11631
Na,2,4443.84,160,,,,,,,,,,,,,L914
Fe,3,4443.842,18,,,14.623957,17.413970,3d5.(b 2G).4s,1G,4,3d5.(a 2F).4p,1F*,3,,,L1171
Ne,2,4443.9337,180,3.5e+06,D,34.84277499,37.6327393,2s2.2p4.(3P).3d,2F,5/2,2s2.2p4.(3P<1>).4f,2[4]*,7/2,,"T1115CA,LS",L5951
Fe,1,4444.0785,1910,1.09e+05,B,2.17594512,4.96581946,3d7.(4P).4s,a 5P,3,3d5.(6S).4s2.4p,y 7P*,2,,T4187,L11631
O,2,4444.254,15,5.05e+07,D,28.358142,31.147904,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).3d,2F,5/2,,T5723LS,L10621
Fe,1,4444.441,14100bl*,1.02e+07,B+,2.85805275,5.64769932,3d7.(4P).4s,b 3P,0,3d6.(3P2).4s.4p.(3P*),x 3D*,1,,T5720,L11631
Fe,1,4444.441,14100bl*,,,3.07133880,5.86098438,3d7.(2P).4s,c 3P,1,3d7.(4P).4p,w 3D*,1,,,L11631
Na,2,4444.45,130,,,,,,,,,,,,,L914
Fe,2,4444.574,16,,,11.2190607,14.0086205,3d6.(5D).5p,6F*,5/2,3d6.(5D).7s,6D,5/2,,,L18349c139
V,1,4444.5839,300000,8.1e+07,C,2.6838140,5.4733715,3d4.(1G2).4s,b 2G,7/2,3d4.(1G2).4p,t 2H*,9/2,,u38,L15916
O,2,4444.763,8,1.89e+06,D,28.358142,31.147582,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).3d,2F,7/2,,T5723LS,L10621
Cr,1,4444.9552,13,4.5e+07,D,3.55579538,6.3451195,3d5.(4D).4s,a 3D,1,3d5.(4D).4p,w 3P*,0,,T3963,L14866
Ti,2,4445.0482,1460,1.08e+07,A',1.07997273,3.86923825,3d2.(1D).4s,a 2D,3/2,3d2.(3F).4p,z 2F*,5/2,,T7385,u37
Mg,3,4445.195,3d,,,72.44963,75.23881,2s2.2p5.(2P*<3/2>).4f,2[3/2],1,2s2.2p5.(2P*<3/2>).5g,2[5/2]*,2,,,L1434
V,1,4445.4538,4000000,1.48e+07,B+,0.26696538,3.05597666,3d4.(5D).4s,a 6D,3/2,3d4.(5D).4p,z 6P*,3/2,,T9399,L15916
Ti,1,4445.506,53,,,2.23932659,5.0283049,3d3.(2P).4s,b 3P,1,3d3.(4P).4p,r 3D*,1,,,L10989
Ti,2,4445.8023,38,3.9e+05,D,1.11558346,3.90437619,3d3,a 2G,7/2,3d2.(3F).4p,z 2F*,7/2,,T4502,u37
Ne,1,4446.226,300,,,18.70407118,21.492601,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).9d,2[5/2]*,3,,,L3469
Fe,2,4446.5029,90,,,11.2065018,13.9948548,3d6.(5D).5p,6F*,9/2,3d6.(5D).7s,4D,7/2,,,L18349c139
Fe,1,4446.7191,427,2.44e+02,A,0.08728574,2.87550352,3d6.4s2,a 5D,2,3d6.(5D).4s.4p.(3P*),z 7F*,2,,T3547,L11631
Mg,3,4446.825,5d*,,,72.45067,75.23881,2s2.2p5.(2P*<3/2>).4f,2[3/2],2,2s2.2p5.(2P*<3/2>).5g,2[5/2]*,2,,,L1434
Mg,3,4446.825,5d*,,,72.45067,75.23881,2s2.2p5.(2P*<3/2>).4f,2[3/2],2,2s2.2p5.(2P*<3/2>).5g,2[5/2]*,3,,,L1434
Ne,1,4446.919,10,,,18.69335943,21.481435,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).10s,2[1/2]*,1,,,L3469
Ne,8,4447.0,20,,,1130.423,1133.211,1s.2s.(3S).8d,4D,,1s.2s.(3S).9p,4P*,,,,L9090
V,1,4447.068,13000,,,1.89331087,4.6813097,3d4.(3P2).4s,b 4P,3/2,3d4.(3P2).4p,t 4D*,1/2,,,L15916
Ar,2,4447.094,5,,,21.36689104,24.15487223,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<2>).4f,2[4]*,7/2,,,L11520
Na,2,4447.176,160,,,,,,,,,,,,,L914
S,4,4447.577,8,,,33.57823,36.36590,3s.3p.(3P*).4s,2P*,1/2,3s.3p.(3P*).4p,4D,1/2,,,u24
Fe,2,4447.6880,30bl(Ne),,,11.3960783,14.1836894,3d5.(4D).4s.4p.(3P*),6F*,3/2,3d6.(5D).6d,114399,3/2,,,L18349c148
Ne,2,4447.6880,180,,,34.84277499,37.6303838,2s2.2p4.(3P).3d,2F,5/2,2s2.2p4.(3P<1>).4f,2[2]*,5/2,,,L9088
F,2,4447.78,160,1.97e+08,C',28.772187,31.559743,2s2.2p3.(4S*).3d,3D*,1,2s2.2p3.(4S*).4f,3F,2,,T1115CA,L369
Ne,1,4447.786,10,,,18.69335943,21.480912,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).10s,2[1/2]*,0,,,L3469
Ti,3,4447.807,5,6.0e+07,D,19.850442,22.637980,3p6.3d.4f,3P*,1,3p6.3d.(2D<5/2>).5g,2[5/2],2,,T1216,L3593
Na,2,4447.943,200,,,41.262215,44.049668,2s2.2p5.(2P*<1/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<1/2>).4f,2[5/2],2,,,L914
F,2,4447.97,170,2.09e+08,C',28.772289,31.559723,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(4S*).4f,3F,3,,T1115CA,L369
O,2,4448.057,6*,,,28.941697,31.729090,2s2.2p2.(3P).3d,2P,3/2,2s2.2p2.(3P).4f D,2[1]*,1/2,,,L10621
O,2,4448.057,6*,,,28.941697,31.729084,2s2.2p2.(3P).3d,2P,3/2,2s2.2p2.(3P).4f D,2[1]*,3/2,,,L10621
Fe,1,4448.0801,760,5.38e+06,B,3.68638944,6.47375371,3d6.(5D).4s.4p.(3P*),z 5P*,1,3d6.(5D).4s (4D).5s,g 5D,1,,T6110,L11631
Fe,1,4448.144,105,,,3.30140276,6.08872711,3d7.(2H).4s,b 3H,4,3d7.(2G).4p,w 3F*,4,,,L11631
N,2,4448.28,650,1.12e+08,B+,20.409133,23.196374,2s2.2p.3p,1P,1,2s2.2p.3d,1D*,2,,T7333,L3513
Fe,1,4448.3785,1780,8.91e+04,C+,2.19786640,4.98504395,3d7.(4P).4s,a 5P,2,3d5.(6S).4s2.4p,y 7P*,3,,T5720,L11631
F,2,4448.44,180,2.35e+08,C',28.772557,31.559698,2s2.2p3.(4S*).3d,3D*,3,2s2.2p3.(4S*).4f,3F,4,,T1115CA,L369
Na,2,4448.659,200,,,41.262215,44.049216,2s2.2p5.(2P*<1/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<1/2>).4f,2[7/2],3,,,L914
Fe,2,4448.7455,60,,,11.2079078,13.9948548,3d6.(5D).5p,4D*,7/2,3d6.(5D).7s,4D,7/2,,,L18349c139
O,2,4448.922,5,2.52e+06,D,28.361069,31.147904,2s2.2p2.(1D).3p,2F*,7/2,2s2.2p2.(1D).3d,2F,5/2,,T5723LS,L10621
Fe,1,4448.9655,9500,5.11e+06,B,2.22271209,5.00952178,3d7.(4P).4s,a 5P,1,3d6.(5D).4s.4p.(1P*),x 5D*,1,,T4187,L11631
Al,2,4449.052,200,,,15.472500,18.259255,3s.4d,1D,2,3s.11p,1P*,1,,,L4575
Fe,1,4449.054,162,,,4.22036211,7.00711799,3d7.(4F).4p,y 5F*,4,3d7.(4F).6s,5F,4,,,L11631
Fe,2,4449.0539,120bl(Fe II)*,,,6.2169162,9.0036704,3d6.(3F1).4s,c 4F,5/2,3d6.(3D).4p,w 4D*,5/2,,,L18349c148
Fe,2,4449.0539,120bl(Fe II)*,,,11.4474493,14.2342003,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,3d6.(5D).6d,4G,5/2,,,L18349c148
Fe,3,4449.056,15,,,13.129349,15.916098,3d5.(b 2D).4s,3D,1,3d5.(4D).4p,3P*,0,,,L1171
S,5,4449.071,3,1.45e+08,D+,58.30102,61.08776,3s.5d,1D,2,3s.6p,1P*,1,,T6298c4,L5337
Cr,1,4449.10,1,,,3.36940787,6.15615299,3d5.(4P).4s,b 3P,1,3d5.(4D).4p,x 3F*,2,,,L808
O,2,4449.435,16,5.10e+07,D,28.361069,31.147582,2s2.2p2.(1D).3p,2F*,7/2,2s2.2p2.(1D).3d,2F,7/2,,T5723LS,L10621
Ar,2,4449.7074,14,,,21.498049871,24.28439443,3s2.3p4.(1D).4p,2D*,5/2,3s2.3p4.(1D).5s,2D,3/2,,,L11520
Fe,2,4449.7768,220,,,11.1491737,13.9354750,3d6.(5D).5p,6F*,11/2,3d6.(5D).7s,6D,9/2,,,L18349c139
Ar,2,4450.12793,166,6.5e+07,D,21.498049871,24.284131501,3s2.3p4.(1D).4p,2D*,5/2,3s2.3p4.(1D).5s,2D,5/2,,T1240,L11520
Fe,2,4450.1282,1700bl(Ar),,,11.2700245,14.0561025,3d6.(5D).5p,4D*,3/2,3d6.(5D).7s,6D,1/2,,,L18349c148
Ti,1,4450.392,2200,9.7e+07,D,1.8870882,4.6730050,3d3.(2G).4s,a 3G,5,3d3.(2G).4p,v 3G*,5,,T2773n,L10989
Ar,3,4450.450,7,,,27.194389,29.9802663,3s2.3p3.(2D*).3d,1D*,2,3s2.3p3.(2P*).4p,1P,1,,,L9366
Ar,2,4450.770,7,,,21.42814610,24.21382629,3s2.3p4.(1D).3d,2D,3/2,3s2.3p4.(3P<2>).4f,2[1]*,3/2,,,L11520
V,1,4450.8214,310000,,,1.3505004,4.1361476,3d3.4s2,a 2G,7/2,3d3.(2G).4s.4p.(3P*),y 2G*,7/2,,,L15916
Cr,1,4450.86,1,,,3.12159404,5.90722005,3d4.4s2,a 3F,4,3d4.(5D).4s.5p.(3P*),v 5F*,5,,,L808
Fe,2,4450.859,60,8.e+05,D+,7.9286411,10.7142644,3d6.(3F2).4p,y 4G*,9/2,3d6.(5D).4d,e 4F,7/2,,T6892c83,L18349c139
S,4,4450.893,1,4.85e+05,E,34.54725,37.33286,3s.3p.(1P*).3d,2P*,3/2,3s.3p.(3P*).4p,2D,3/2,,"T6527c4,LS",u24
Ti,1,4451.223,18,,,1.87920395,4.6646048,3d3.(2G).4s,a 3G,4,3d.4s2.4p,x 1F*,3,,,L10989
Fe,1,4451.5645,760,1.15e+06,C+,3.11096179,5.89614419,3d7.(2P).4s,c 3P,0,3d7.(4P).4p,y 3S*,1,,T5720,L11631
Ti,2,4451.7315,230,1.70e+06,A',1.08416006,3.86923825,3d2.(1D).4s,a 2D,5/2,3d2.(3F).4p,z 2F*,5/2,,T7385,u37
S,2,4451.961,11,,,16.590926,19.375858,3s2.3p2.(3P).3d,2D,5/2,3s2.3p2.(1S).4p,2P*,3/2,,,L5883
V,4,4452.00,,,,32.88949,35.67439,3p6.3d.4f,3D*,3,3p6.3d.5d,3P,2,,,L147
Fe,1,4452.016,71,2.3e+05,E,3.88160368,6.66650376,3d6.(5D).4s.4p.(3P*),z 3F*,4,3d7.(4F).4d,f 5G,4,,T2578n,L11631
Ti,1,4452.143,1600,9.6e+07,D,1.87920395,4.6640244,3d3.(2G).4s,a 3G,4,3d3.(2G).4p,v 3G*,4,,T2773n,L10989
V,1,4452.1473,240000,,,2.36538442,5.1502026,3d4.(3F2).4s,a 2F,7/2,3d4.(3G).4p,t 2G*,9/2,,,L15916
Fe,2,4452.792,90,6.9e+05,D+,6.1380760,8.9224918,3d6.(3P1).4s,c 4P,3/2,3d6.(3D).4p,w 4P*,5/2,,T6892c83,L18349c139
Mn,1,4452.84,800,7.98e+07,B,2.888419,5.672806,3d6.(5D).4s,a 4D,7/2,3d6.(5D).4p,z 4D*,7/2,,T4649,L3475
V,1,4453.013,34000*,,,2.70799108,5.4922673,3d3.(4F).4s.4p.(3P*),z 4G*,5/2,3d3.4s.(5F).4d,4G,5/2,,,L15916
V,1,4453.013,34000*,,,2.70799108,5.4922673,3d3.(4F).4s.4p.(3P*),z 4G*,5/2,3d3.4s.(5F).4d,4F,3/2,,,L15916
Na,2,4453.08,60,,,,,,,,,,,,,L914
Fe,2,4453.2170,70,,,11.2553628,14.0395114,3d6.(5D).5p,4F*,7/2,3d6.(5D).7s,4D,5/2,,,L18349c139
V,1,4453.2548,2500000,8.1e+07,B+,1.86756890,4.6516943,3d4.(3H).4s,a 4H,13/2,3d4.(3H).4p,z 4I*,15/2,,T9399,L15916
Mg,3,4453.593,2d*,,,72.46410,75.24807,2s2.2p5.(2P*<3/2>).4f,2[9/2],5,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,4,,,L1434
Mg,3,4453.593,2d*,,,72.46410,75.24807,2s2.2p5.(2P*<3/2>).4f,2[9/2],5,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,5,,,L1434
Mg,3,4453.593,2d*,,,72.46424,75.24807,2s2.2p5.(2P*<3/2>).4f,2[9/2],4,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,4,,,L1434
Mg,3,4453.593,2d*,,,72.46424,75.24807,2s2.2p5.(2P*<3/2>).4f,2[9/2],4,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,5,,,L1434
O,2,4453.625,18,1.37e+07,B,23.4415082,26.2254001,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,3/2,,"T6172,T6632","L10621,L3448"
P,2,4453.71,100,,,,,,,,,,,,,L3986
Ne,2,4453.857,140,,,37.9693434,40.7530932,2s2.2p4.(1D).3d,2D,5/2,2s2.2p4.(1D<2>).4f,2[2]*,5/2,,,L1406
Fe,1,4453.859,219bl,8.3e+05,E,3.94332623,6.72707289,3d6.(5D).4s.4p.(3P*),z 3F*,3,3d7.(4F).4d,g 5F,2,,T2578n,L11631
V,1,4453.947,100000,3.27e+06,B+,1.84859919,4.63229155,3d4.(3H).4s,a 4H,7/2,3d4.(3H).4p,v 2G*,9/2,,T9399,L15916
Ne,3,4454.04,2000wl*,3.4e+07,D,55.737363+x,58.52105+x,2s2.2p3.(4S*).4f,5F,5,2s2.2p3.(4S*).5g,5G*,6,,T8046,L10704
Ne,3,4454.04,2000wl*,3.1e+08,D,55.737393+x,58.52105+x,2s2.2p3.(4S*).4f,5F,4,2s2.2p3.(4S*).5g,5G*,5,,T8046,L10704
Ne,3,4454.04,2000wl*,2.8e+08,D,55.737440+x,58.52105+x,2s2.2p3.(4S*).4f,5F,3,2s2.2p3.(4S*).5g,5G*,4,,T8046,L10704
Ne,3,4454.04,2000wl*,,,55.73746+x,58.52105+x,2s2.2p3.(4S*).4f,5F,1,2s2.2p3.(4S*).5g,5G*,2,,,L10704
Ne,3,4454.04,2000wl*,2.6e+08,D,55.73747+x,58.52105+x,2s2.2p3.(4S*).4f,5F,2,2s2.2p3.(4S*).5g,5G*,3,,T8046,L10704
Fe,1,4454.049,214,,,2.58810592,5.37173492,3d6.4s2,b 3F2,3,3d6.(3H).4s.4p.(3P*),z 5H*,3,,,L11631
Ne,1,4454.233,150,,,18.61270528,21.396216,2s2.2p5.(2P*<3/2>).3p,2[3/2],1,2s2.2p5.(2P*<3/2>).9d,2[5/2]*,2,,,L3469
Mn,1,4454.25,160,5.44e+07,B,2.940846,5.724342,3d6.(5D).4s,a 4D,3/2,3d6.(5D).4p,z 4D*,1/2,,T4649,L3475
Ti,1,4454.299,6q,,,2.4079690,5.19144952,3d2.(3F).4s.4p.(3P*),z 3F*,3,3d2.4s.(4F).4d,g 3F,2,,,L10989
V,1,4454.368,69000,1.56e+06,B,1.95532863,4.73875827,3d4.(3F2).4s,b 4F,9/2,3d4.(3H).4p,x 2H*,11/2,,T9399,L15916
Ne,1,4454.503,50,,,18.61270528,21.396056,2s2.2p5.(2P*<3/2>).3p,2[3/2],1,2s2.2p5.(2P*<3/2>).9d,2[3/2]*,1,,,L3469
Cr,1,4454.559,3,,,5.2553505,8.038675,3d4.(3H).4s.4p.(3P*),z 5H*,7,3d4.4s.5s,e 5H,6,,,L808
Ti,1,4454.563,1400,5.98e+07,C+,1.42975614,4.2130640,3d3.(4F).4s,b 3F,2,3d2.(1G).4s.4p.(3P*),v 3F*,2,,T4922,L10989
Ne,1,4454.574,20,,,18.63679156,21.420080,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).11s,2[3/2]*,1,,,L3469
V,2,4454.577,580,,,3.7590189,6.5423206,3d3.(2F).4s,c 3F,4,3d3.(4P).4p,x 3D*,3,,,L18516
Ne,1,4454.778,10,,,18.61270528,21.395879,2s2.2p5.(2P*<3/2>).3p,2[3/2],1,2s2.2p5.(2P*<3/2>).9d,2[3/2]*,2,,,L3469
Ti,1,4454.949,1000,4.7e+07,D,1.87316703,4.6562338,3d3.(2G).4s,a 3G,3,3d3.(2G).4p,v 3G*,3,,T2773n,L10989
Ti,1,4455.101,8q,,,2.4079690,5.19094329,3d2.(3F).4s.4p.(3P*),z 3F*,3,3d2.4s.(4F).4d,3G,3,,,L10989
V,2,4455.363,800,,,6.33382873,9.11664631,3d3.(2P).4p,y 3D*,3,3d3.(4F).4d,3D,3,,,L10089c179
V,1,4455.368,56000,,,2.72311913,5.5059235,3d3.(4F).4s.4p.(3P*),z 4G*,7/2,3d3.4s.(5F).4d,4G,7/2,,,L15916
Ne,1,4455.535,50,,,18.63679156,21.419488,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).11s,2[3/2]*,2,,,L3469
Fe,1,4455.6310,8300,3.38e+06,B+,2.83159117,5.61423177,3d7.(4P).4s,b 3P,2,3d6.(3P2).4s.4p.(3P*),x 3D*,2,,T5720,L11631
Na,2,4455.814,5,,,41.267140,44.049668,2s2.2p5.(2P*<1/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<1/2>).4f,2[5/2],2,,,L914
Fe,1,4455.9213,209,,,3.63521992,6.41767950,3d6.4s2,b 3D,1,3d6.(3H).4s.4p.(3P*),x 1D*,2,,,L11631
Na,2,4455.986,200,,,41.267140,44.049565,2s2.2p5.(2P*<1/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<1/2>).4f,2[5/2],3,,,L914
Ca,1,4456.03,30,8.7e+07,C,1.8989349,4.6813270,3p6.4s.4p,3P*,2,3p6.4s.4d,3D,3,,T8043,L6097
K,2,4456.25,2,2.93e+07,,23.573202,26.355470,3p5.4p,3P,1,3p5.(2P*<3/2>).5s,2[3/2]*,2,,T8304,L3490
Mn,1,4456.26,130,,,,,,,,,,,,,L3475
Fe,1,4456.2774,740,4.1e+06,E,3.88160368,6.66384071,3d6.(5D).4s.4p.(3P*),z 3F*,4,3d7.(4F).4d,f 3D,3,,T2578n,L11631
Na,2,4456.475,200,,,41.267140,44.049250,2s2.2p5.(2P*<1/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<1/2>).4f,2[7/2],4,,,L914
Ti,1,4456.569,1900,4.8e+07,D,1.44315262,4.2252086,3d3.(4F).4s,b 3F,3,3d2.(1G).4s.4p.(3P*),v 3F*,3,,T2773n,L10989
Mn,1,4456.57,160,,,,,,,,,,,,,L3475
Cr,1,4456.7030,4,,,3.01062753,5.79260016,3d5.(4D).4s,b 5D,4,3d4.(3G).4s.4p.(3P*),w 5F*,4,,,L14866
Ne,1,4456.815,150,,,18.57583601,21.3577339,2s2.2p5.(2P*<3/2>).3p,2[5/2],2,2s2.2p5.(2P*<1/2>).8s,2[1/2]*,1,,,L3469
Mn,1,4457.07,110,1.7e+07,E,3.072244,5.853990,3d5.(6S).4s.4p.(3P*),z 6P*,3/2,3d5.4s.(7S).4d,e 6D,5/2,,T1117,L3475
Ca,1,4457.14,28,2.0e+07,C,1.8989349,4.6806350,3p6.4s.4p,3P*,2,3p6.4s.4d,3D,2,,T8043,L6097
Cr,1,4457.44,3,,,2.96741996,5.74893273,3d4.4s2,a 3H,4,3d4.(3F1).4s.4p.(3P*),w 5D*,3,,,L808
Fe,1,4457.5762,1150,2.06e+05,B,3.04686890,5.82829520,3d7.(2G).4s,a 1G,4,3d6.(3H).4s.4p.(3P*),z 3H*,5,,T5720,L11631
Cr,1,4457.61,3,,,4.0964341,6.877850,3d5.(2F1).4s,b 3F,2,3d5.(4G).5p,u 3F*,2,,,L808
Ne,1,4457.631,10,,,18.71137667,21.492758,2s2.2p5.(2P*<3/2>).3p,2[1/2],0,2s2.2p5.(2P*<1/2>).9d,2[3/2]*,1,,,L3469
S,2,4457.639,17,4.7e+07,E,15.848290,18.629681,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).5s,4P,1/2,,"T1619CA,LS",L5883
V,1,4457.6918,59000,,,2.74266425,5.52401851,3d3.(4F).4s.4p.(3P*),z 4G*,9/2,3d3.4s.(5F).4d,4G,9/2,,,L15916
Ne,2,4457.696,80,,,37.9717422,40.7530955,2s2.2p4.(1D).3d,2D,3/2,2s2.2p4.(1D<2>).4f,2[2]*,3/2,,,L1406
Fe,2,4457.7017,25,,,11.2885412,14.0698885,3d6.(3P1).5p,4P*,3/2,3d6.(5D).7s,4D,3/2,,,L18349c139
V,1,4457.7424,73000,,,2.76656257,5.5478855,3d3.(4F).4s.4p.(3P*),z 4G*,11/2,3d3.4s.(5F).4d,4G,11/2,,,L15916
V,2,4457.788,570,,,3.7526931,6.5339756,3d3.(2F).4s,c 3F,2,3d3.(4P).4p,x 3D*,2,,,L10089c179
Ar,2,4457.80,1,,,23.162238164,25.94352386,3s2.3p4.(3P).4d,2F,7/2,3s2.3p4.(1D<2>).4f,2[3]*,7/2,,,L14821
Ca,1,4457.86,20,2.45e+06,C+,1.8989349,4.6801799,3p6.4s.4p,3P*,2,3p6.4s.4d,3D,1,,"T539n,T654n,LS",L6097
Fe,1,4457.8808,219,6.8e+05,E,3.88160368,6.66284114,3d6.(5D).4s.4p.(3P*),z 3F*,4,3d7.(4F).4d,e 3G,5,,T2578n,L11631
Ti,2,4457.900,8,1.21e+06,D+,3.12352957,5.90475346,3d.4s2,c 2D,5/2,3d2.(1G).4p,x 2F*,5/2,,T7385,L17999
Na,2,4458.276,20,,,41.100329,43.881317,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4f,2[5/2],2,,,L914
Mn,1,4458.29,55,2.34e+07,C+,3.073327,5.854304,3d5.(6S).4s.4p.(3P*),z 6P*,5/2,3d5.4s.(7S).4d,e 6D,3/2,,T4649,L3475
Ne,2,4458.2983,240,,,34.77428890,37.5552644,2s2.2p4.(3P).3d,2D,3/2,2s2.2p4.(3P<2>).4f,2[2]*,5/2,,,L9088
Na,2,4458.474,200,,,41.100329,43.881208,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4f,2[5/2],3,,,L914
Ne,2,4458.493,100*,,,34.86080527,37.6416644,2s2.2p4.(3P).3d,4P,5/2,2s2.2p4.(3P<1>).4f,2[3]*,5/2,,,L1406
Ne,2,4458.493,100*,,,34.77428890,37.5551307,2s2.2p4.(3P).3d,2D,3/2,2s2.2p4.(3P<2>).4f,2[2]*,3/2,,,L1406
Ne,2,4458.6018,160,,,34.86080527,37.6415915,2s2.2p4.(3P).3d,4P,5/2,2s2.2p4.(3P<1>).4f,2[3]*,7/2,,,L9088
Ti,1,4458.678,2600,5.6e+07,D,1.46013860,4.2408776,3d3.(4F).4s,b 3F,4,3d2.(1G).4s.4p.(3P*),v 3F*,4,,T2773n,L10989
V,1,4458.7211,2600000,9.6e+06,B+,0.27526426,3.05597666,3d4.(5D).4s,a 6D,5/2,3d4.(5D).4p,z 6P*,3/2,,T9399,L15916
Mn,1,4458.80,210,4.27e+07,C+,3.073327,5.853990,3d5.(6S).4s.4p.(3P*),z 6P*,5/2,3d5.4s.(7S).4d,e 6D,5/2,,T4649,L3475
V,1,4459.0045,500000,1.47e+07,C+,1.8726306,4.65316590,3d3.4s2,a 2H,9/2,3d4.(3H).4p,z 2I*,11/2,,T9282,L15916
Fe,1,4459.3312,830,,,3.88350907,6.66384071,3d6.(5D).4s.4p.(3P*),z 3D*,3,3d7.(4F).4d,f 3D,3,,,L11631
Mn,1,4459.51,270,4.62e+07,C+,3.073327,5.853549,3d5.(6S).4s.4p.(3P*),z 6P*,5/2,3d5.4s.(7S).4d,e 6D,7/2,,T4649,L3475
V,1,4459.640,90000,5.8e+06,B,2.36538442,5.1455239,3d4.(3F2).4s,a 2F,7/2,3d4.(3G).4p,v 2H*,9/2,,T9399,L15916
Cr,1,4459.7579,120,,,3.55053095,6.33059653,3d5.(4D).4s,a 3D,3,3d4.(3G).4s.4p.(3P*),w 3F*,4,,,L14866
Cr,1,4459.7943,140,,,3.01062753,5.79067042,3d5.(4D).4s,b 5D,4,3d4.(3G).4s.4p.(3P*),w 5F*,5,,,L14866
Ne,3,4460.014,500,3.4e+08,D,55.741178,58.521085,2s2.2p3.(4S*).4f,3F,4,2s2.2p3.(4S*).5g,3G*,5,,T8046,L10704
Ne,3,4460.113,400,3.2e+08,D,55.741247,58.521092,2s2.2p3.(4S*).4f,3F,3,2s2.2p3.(4S*).5g,3G*,4,,T8046,L10704
Ar,2,4460.136,1h,,,23.08230349,25.86213691,3s2.3p4.(3P).4d,4P,1/2,3s2.3p4.(1D<2>).4f,2[1]*,3/2,,,L14821
Ne,3,4460.19,300,3.1e+08,D,55.741316,58.521102,2s2.2p3.(4S*).4f,3F,2,2s2.2p3.(4S*).5g,3G*,3,,T8046,L10704
